index,value
700611,3.5
700612,3.5
700613,3.5
700614,3.5
700715,3.5
700716,3.5
700817,3.5
700818,3.5
700819,3.5
700820,3.5
701022,3.5
701023,3.5
701124,3.5
701125,3.5
701126,3.5
701227,3.5
701228,8.20001220703125
701229,8.5
701230,3.5
701276,0.0
701277,0.0
701331,3.5
701332,3.5
701378,0.0
701433,3.5
701434,3.5
701479,0.0
701480,0.0
701535,3.4000244140625
701536,3.5
702259,3.5
702260,3.4000244140625
702261,3.5
702262,3.5
702363,3.5
702464,3.5
702465,3.5
702466,3.5
702567,3.5
702568,3.5
702569,3.5
702570,3.5
710201,59.5
710202,59.5
710203,67.9000015258789
710204,67.9000015258789
710205,67.9000015258789
710206,67.9000015258789
710207,67.9000015258789
710208,67.9000015258789
710209,67.9000015258789
710210,67.9000015258789
710211,67.9000015258789
710212,67.9000015258789
710213,67.9000015258789
710214,67.9000015258789
710215,67.9000015258789
710216,67.9000015258789
710217,67.9000015258789
710218,67.9000015258789
710219,67.9000015258789
710220,67.9000015258789
710221,67.9000015258789
710222,67.9000015258789
710223,67.9000015258789
710224,67.9000015258789
710225,67.9000015258789
710226,67.9000015258789
710227,67.9000015258789
710228,67.9000015258789
710229,67.9000015258789
710230,67.9000015258789
710231,67.9000015258789
710232,67.9000015258789
710233,67.9000015258789
710234,67.9000015258789
710235,67.9000015258789
710236,67.9000015258789
710237,67.9000015258789
710238,67.9000015258789
710239,67.9000015258789
710240,67.9000015258789
710241,67.9000015258789
710242,67.9000015258789
710243,67.9000015258789
710244,67.9000015258789
710245,67.9000015258789
710246,67.9000015258789
710247,67.9000015258789
710248,67.9000015258789
710249,67.9000015258789
710250,67.9000015258789
710251,67.9000015258789
710252,67.9000015258789
710253,67.9000015258789
710254,67.9000015258789
710255,67.9000015258789
710256,67.9000015258789
710257,67.9000015258789
710258,67.9000015258789
710259,67.9000015258789
710260,67.9000015258789
710261,67.9000015258789
710262,67.9000015258789
710263,67.9000015258789
710264,67.9000015258789
710265,67.9000015258789
710266,67.9000015258789
710267,67.9000015258789
710269,67.9000015258789
710271,67.9000015258789
710272,67.9000015258789
710273,67.9000015258789
710274,67.9000015258789
710275,67.9000015258789
710276,67.9000015258789
710277,67.9000015258789
710278,67.9000015258789
710279,67.9000015258789
710280,67.9000015258789
710281,67.9000015258789
710282,67.9000015258789
710283,67.9000015258789
710284,67.9000015258789
710285,67.9000015258789
710286,59.5
710287,67.9000015258789
710288,67.9000015258789
710289,67.9000015258789
710290,67.9000015258789
710291,67.9000015258789
710292,67.9000015258789
710293,67.9000015258789
710294,67.9000015258789
710295,67.9000015258789
710296,67.9000015258789
710297,67.9000015258789
710298,67.9000015258789
710299,67.9000015258789
710301,59.5
710302,59.5
710303,59.5
710304,59.5
710305,59.5
710306,59.5
710307,59.5
710308,59.5
710309,59.5
710310,59.5
710311,59.5
710312,59.5
710313,46.0
710314,46.0
710315,46.0
710316,46.0
710317,46.0
710318,46.0
710319,46.0
710320,46.0
710321,46.0
710322,59.5
710323,59.5
710324,59.5
710325,59.5
710326,59.5
710327,59.5
710328,59.5
710329,59.5
710330,59.5
710331,59.5
710332,59.5
710333,59.5
710334,59.5
710335,59.5
710336,59.5
710337,59.5
710338,59.5
710339,46.0
710340,46.0
710341,46.0
710342,59.5
710344,59.5
710345,59.5
710346,59.5
710347,59.5
710348,59.5
710349,59.5
710350,59.5
710351,59.5
710352,59.5
710353,59.5
710354,59.5
710355,59.5
710356,59.5
710357,59.5
710358,59.5
710359,59.5
710360,59.5
710361,59.5
710362,46.0
710363,59.5
710364,59.5
710365,59.5
710366,59.5
710367,46.0
710368,46.0
710369,46.0
710370,59.5
710371,59.5
710372,59.5
710373,59.5
710374,46.0
710375,59.5
710401,59.5
710402,59.5
710403,59.5
710404,59.5
710405,59.5
710406,59.5
710407,59.5
710408,59.5
710409,59.5
710410,59.5
710411,59.5
710412,59.5
710413,59.5
710414,59.5
710416,59.5
710417,59.5
710418,59.5
710419,46.0
710420,46.0
710421,46.0
710422,46.0
710423,59.5
710424,46.0
710425,46.0
710426,46.0
710427,59.5
710428,59.5
710429,59.5
710430,59.5
710431,59.5
710432,59.5
710433,59.5
710435,59.5
710436,59.5
710437,59.5
710438,59.5
710439,59.5
710440,59.5
710441,59.5
710442,59.5
710443,46.0
710444,46.0
710445,46.0
710446,46.0
710447,46.0
710448,46.0
710451,59.5
710452,59.5
710453,59.5
710454,59.5
710456,46.0
710457,59.5
710458,59.5
710459,59.5
710461,59.5
710463,59.5
710464,59.5
710465,46.0
710466,46.0
710467,46.0
710468,46.0
710469,46.0
710470,46.0
710471,46.0
711401,108.89999389648438
711402,108.89999389648438
711403,108.89999389648438
711404,108.89999389648438
711405,108.89999389648438
711406,108.89999389648438
711407,108.89999389648438
711408,108.89999389648438
711409,108.89999389648438
711410,108.89999389648438
711411,108.89999389648438
711412,108.89999389648438
711413,108.89999389648438
711414,108.89999389648438
711415,108.89999389648438
711416,108.89999389648438
711417,108.89999389648438
711418,108.89999389648438
711419,108.89999389648438
711420,108.89999389648438
711423,67.9000015258789
711424,108.89999389648438
711425,108.89999389648438
711426,108.89999389648438
711427,108.89999389648438
711428,108.89999389648438
711429,108.89999389648438
711430,67.9000015258789
711431,108.89999389648438
711432,108.89999389648438
711501,108.89999389648438
711502,108.89999389648438
711503,59.5
711504,108.89999389648438
711505,108.89999389648438
